"CLUSTER","gene_name","MEM.SHIP"
1,"C12orf60",0.670311183647043
1,"C14orf28",0.57930389832638
1,"C18orf54",0.680698522805171
1,"C18orf63",0.744775440941709
1,"C19orf68",0.759782677664685
1,"C19orf71",0.73715420636974
1,"C1orf116",0.85081797044246
1,"C1orf147",0.53299835254343
1,"C1orf194",0.504974714694869
1,"C1orf27",0.575611571264553
1,"C21orf91",0.734840373426704
1,"C2CD2",0.59190311414533
1,"C2CD5",0.919010790128299
1,"C2orf16",0.505403539038025
1,"C3orf83",0.931927425174797
1,"C5orf28",0.831147244044694
1,"C5orf46",0.767608538993169
1,"C7orf43",0.560363815177176
1,"C8orf4",0.750166643230476
1,"C9orf172",0.611117809284825
1,"C9orf96",0.672255038631845
1,"CACNB1",0.679649487058964
1,"CALD1",0.569923744882251
1,"CALHM1",0.700654717015791
1,"CALML4",0.83927993321173
1,"CAPSL",0.781865427464539
1,"CARKD",0.927793397569169
1,"CASC11",0.703094539056955
1,"CASC7",0.898961669573491
1,"CASC8",0.860957595519519
1,"CASZ1",0.849681277368424
1,"CATSPER2P1",0.620762392594409
1,"CBR4",0.58366473965969
1,"CCAT1",0.620515944485784
1,"CCDC130",0.69786791359111
1,"CCDC144A",0.897917578459947
1,"CCDC144B",0.546574945219127
1,"CCDC157",0.5960724403284
1,"CCDC169-SOHLH2",0.719362834980405
1,"CCDC39",0.635818672566518
1,"CCDC66",0.64882554364806
1,"CCDC68",0.7148610583877
1,"CCDC84",0.720470347547221
1,"CCDC92",0.7079464552976
1,"CCL20",0.525633632239868
1,"CCNJ",0.653249670098122
1,"CCNT1",0.655339529515385
1,"CCT6P1",0.902765666146977
1,"CCT6P3",0.727617036286418
1,"CD109",0.706666794649021
1,"CD47",0.52478333226515
1,"CD83",0.734603642803997
1,"CD97",0.877276052998095
1,"CDADC1",0.501698015072109
1,"CDC16",0.620288875608755
1,"CDC42EP3",0.701963451538647
1,"CDH23",0.652009186468995
1,"CDH5",0.741977664249742
1,"CDK11A",0.639522411327024
1,"CDK14",0.617953305926696
1,"CDK6",0.899435041024901
1,"CDKL1",0.937917756426479
1,"CDKN2AIP",0.546715945834342
1,"CDSN",0.583491461887661
1,"CELSR2",0.778352662424945
1,"CEP170B",0.506222660504303
1,"CEP290",0.862297697638608
1,"CEP350",0.865372797343766
1,"CEP95",0.675883560696879
1,"CEPT1",0.566203659054959
1,"CHCHD4P3",0.747594329632709
1,"CHKA",0.681532042077853
1,"CHMP4B",0.607695276948075
1,"CHPF",0.539698961628409
1,"CHPF2",0.828789587085473
1,"CHRM1",0.600190002145481
1,"CHRNB3",0.534319573753728
1,"CHRNG",0.657306676643687
1,"CHST3",0.675407058142564
1,"CHTOP",0.687018509371381
1,"CKAP4",0.561596615611179
1,"CLCF1",0.651467275845827
1,"CLCNKA",0.7280309165807
1,"CLDN1",0.71006478027282
1,"CLDN15",0.537583628690296
1,"CLDN16",0.580658358176586
1,"CLEC1A",0.560736896243659
1,"CLK1",0.667928301173227
1,"CLK4",0.855902177494998
1,"CLN8",0.726469582350437
1,"CLPTM1",0.638242937084804
1,"CLSTN1",0.678686662965168
1,"CLUHP3",0.897649795486558
1,"CMTM4",0.624595690446127
1,"CNIH3",0.732122335213286
1,"CNNM3",0.835787947497135
1,"CNNM4",0.655176162769868
1,"CNOT6L",0.6448122908972
1,"CNST",0.746277314239618
1,"COBLL1",0.585082025383876
1,"COG6",0.530034036081438
1,"COL12A1",0.628822594706168
1,"COL14A1",0.849076763761336
1,"COL18A1",0.546265327997878
1,"COL1A1",0.616358142354541
1,"COL4A2",0.659616350686348
1,"COL4A3",0.769040354964586
1,"COL4A5",0.782759368890508
1,"COL4A6",0.711784234153424
1,"COL5A2",0.559898667789064
1,"COL7A1",0.871092212200083
1,"CORO7",0.72748873779402
1,"CPB2",0.532322309908228
