gene_name,go_term
 proB,GO:0006013
 proA,GO:0006000
 proA,GO:0006013
aguA,GO:0006012
 aguB,GO:0006012
 speE,GO:0006012
 nspC,GO:0006012
 proC,GO:0006012
 proB,GO:0006012
 proA,GO:0006012
aguA,GO:0019852
aguA,GO:0019577
aguA,GO:0019572
 aguB,GO:0019852
 aguB,GO:0019577
 aguB,GO:0019572
 speE,GO:0019852
 speE,GO:0019577
 speE,GO:0019572
 nspC,GO:0019852
 nspC,GO:0019577
 nspC,GO:0019572
 proC,GO:0019852
 proC,GO:0019577
 proC,GO:0019572
 proB,GO:0019852
 proB,GO:0019577
 proB,GO:0019572
 proA,GO:0019852
 proA,GO:0019577
 proA,GO:0019572
aguA,GO:0006633
 aguB,GO:0006633
 speE,GO:0006633
 nspC,GO:0006633
 proC,GO:0006633
 proB,GO:0006633
 proA,GO:0006633
aguA,GO:0006526
 aguB,GO:0006526
 speE,GO:0006526
 nspC,GO:0006526
 proC,GO:0006526
 proB,GO:0006526
 proA,GO:0006526
aguA,GO:0006163
aguA,GO:0042278
 aguB,GO:0006163
 aguB,GO:0042278
 speE,GO:0006163
 speE,GO:0042278
 nspC,GO:0006163
 nspC,GO:0042278
 proC,GO:0006163
 proC,GO:0042278
 proB,GO:0006163
 proB,GO:0042278
 proA,GO:0006163
 proA,GO:0042278
aguA,GO:0006220
aguA,GO:0006213
 aguB,GO:0006220
 aguB,GO:0006213
 speE,GO:0006220
 speE,GO:0006213
 nspC,GO:0006220
 nspC,GO:0006213
 proC,GO:0006220
 proC,GO:0006213
 proB,GO:0006220
 proB,GO:0006213
 proA,GO:0006220
 proA,GO:0006213
alr,GO:0006522
alr,GO:0006531
alr,GO:0006536
 ddl,GO:0006522
 ddl,GO:0006531
 ddl,GO:0006536
 dltA,GO:0006522
 dltA,GO:0006531
 dltA,GO:0006536
 dltC,GO:0006522
 dltC,GO:0006531
 dltC,GO:0006536
 murI,GO:0006522
 murI,GO:0006531
 murI,GO:0006536
 murD,GO:0006522
 murD,GO:0006531
 murD,GO:0006536
 lysA,GO:0006522
 lysA,GO:0006531
 lysA,GO:0006536
alr,GO:0006544
alr,GO:0006563
alr,GO:0070178
alr,GO:0006566
 ddlA,GO:0006544
 ddlA,GO:0006563
 ddlA,GO:0070178
 ddlA,GO:0006566
 dltA,GO:0006544
 dltA,GO:0006563
 dltA,GO:0070178
 dltA,GO:0006566
 dltC,GO:0006544
 dltC,GO:0006563
 dltC,GO:0070178
 dltC,GO:0006566
 murI,GO:0006544
 murI,GO:0006563
 murI,GO:0070178
 murI,GO:0006566
 murD,GO:0006544
 murD,GO:0006563
 murD,GO:0070178
 murD,GO:0006566
 lysA,GO:0006544
 lysA,GO:0006563
 lysA,GO:0070178
 lysA,GO:0006566
alr,GO:0006534
alr,GO:0006555
 ddlA,GO:0006534
 ddlA,GO:0006555
 dltA,GO:0006534
 dltA,GO:0006555
 dltC,GO:0006534
 dltC,GO:0006555
 murI,GO:0006534
 murI,GO:0006555
 murD,GO:0006534
 murD,GO:0006555
 lysA,GO:0006534
 lysA,GO:0006555
alr,GO:0006550
alr,GO:0006552
alr,GO:0006574
 murF,GO:0006550
 murF,GO:0006552
 murF,GO:0006574
 dltA,GO:0006550
 dltA,GO:0006552
 dltA,GO:0006574
 dltC,GO:0006550
 dltC,GO:0006552
 dltC,GO:0006574
 murI,GO:0006550
 murI,GO:0006552
 murI,GO:0006574
 murD,GO:0006550
 murD,GO:0006552
 murD,GO:0006574
 lysA,GO:0006550
 lysA,GO:0006552
 lysA,GO:0006574
alr,GO:0009097
alr,GO:0009098
alr,GO:0009099
 ddlA,GO:0009097
 ddlA,GO:0009098
 ddlA,GO:0009099
 dltA,GO:0009097
 dltA,GO:0009098
 dltA,GO:0009099
 dltC,GO:0009097
 dltC,GO:0009098
